city,country,date,lat,lon,max_temp,humidity,cloudiness,wind_speed
isla mujeres,PT,1970-01-01 00:00:01.579292886,38.52,-28.7,59.0,87,20,3.36
vaini,ID,1970-01-01 00:00:01.579292801,-3.8,102.27,73.06,94,99,3.69
thompson,GL,1970-01-01 00:00:01.579292887,65.61,-37.64,15.8,56,20,1.12
gongzhuling,CA,1970-01-01 00:00:01.579292887,50.03,-66.87,1.99,37,20,8.05
ribeira grande,ID,1970-01-01 00:00:01.579292887,5.56,95.32,73.92,88,100,5.17
bengkulu,RU,1970-01-01 00:00:01.579292887,70.63,147.92,-27.62,97,71,3.31
tasiilaq,BR,1970-01-01 00:00:01.579292887,-6.22,-57.75,86.0,79,75,2.24
port-cartier,RU,1970-01-01 00:00:01.579292887,69.7,170.31,-16.49,98,100,1.5
banda aceh,RU,1970-01-01 00:00:01.579292887,61.38,152.75,-22.29,97,100,2.01
chokurdakh,BR,1970-01-01 00:00:01.579292887,-3.32,-60.35,78.8,94,75,2.24
jacareacanga,EG,1970-01-01 00:00:01.579292887,25.29,32.55,59.0,72,89,5.82
pevek,AU,1970-01-01 00:00:01.579292887,-34.73,135.87,60.39,68,100,10.63
talaya,CA,1970-01-01 00:00:01.579292791,47.67,-52.73,28.0,92,90,53.33
tumannyy,OM,1970-01-01 00:00:01.579292887,22.93,57.53,54.9,54,0,2.93
manaquiri,ES,1970-01-01 00:00:01.579292887,43.48,-8.24,51.01,87,100,4.7
esna,VE,1970-01-01 00:00:01.579292887,7.77,-72.22,91.4,38,40,23.04
port lincoln,US,1970-01-01 00:00:01.579292701,71.29,-156.79,1.4,70,1,6.93
torbay,AU,1970-01-01 00:00:01.579292887,-25.24,130.99,82.4,26,17,11.41
nizwa,RU,1970-01-01 00:00:01.579292887,59.58,151.28,-5.94,74,100,8.28
ferrol,MU,1970-01-01 00:00:01.579292888,-19.98,57.61,80.6,83,90,8.05
san cristobal,BR,1970-01-01 00:00:01.579292888,-16.35,-53.76,87.96,64,35,1.95
barrow,MU,1970-01-01 00:00:01.579292889,-20.52,57.52,80.6,83,90,8.05
belushya guba,GB,1970-01-01 00:00:01.579292889,60.15,-1.15,46.4,81,75,35.57
yulara,VE,1970-01-01 00:00:01.579292889,11.4,-69.67,79.54,78,43,18.77
ola,BR,1970-01-01 00:00:01.579292656,-24.79,-50.01,63.09,85,99,8.66
cap malheureux,UY,1970-01-01 00:00:01.579292889,-34.48,-54.33,67.19,42,0,10.47
guiratinga,KZ,1970-01-01 00:00:01.579292889,44.51,50.26,35.49,74,100,11.36
souillac,BR,1970-01-01 00:00:01.579292889,-7.47,-34.81,84.2,66,75,14.99
lerwick,CL,1970-01-01 00:00:01.579292889,-41.87,-73.82,71.6,64,40,11.41
coro,ZA,1970-01-01 00:00:01.579292889,-33.59,26.89,71.01,94,91,4.0
castro,RU,1970-01-01 00:00:01.579292889,54.81,105.16,0.7,95,100,2.57
rocha,GL,1970-01-01 00:00:01.579292890,77.48,-69.36,-16.17,62,0,6.31
fort-shevchenko,BR,1970-01-01 00:00:01.579292890,-23.78,-45.36,74.91,77,100,16.33
pitimbu,PT,1970-01-01 00:00:01.579292890,41.72,-8.86,54.0,76,100,3.36
ancud,LY,1970-01-01 00:00:01.579292890,30.33,10.85,48.81,64,0,7.0
port alfred,VE,1970-01-01 00:00:01.579292891,8.92,-67.43,89.26,48,90,5.77
zhigalovo,CA,1970-01-01 00:00:01.579292798,62.46,-114.35,-14.8,75,90,5.82
qaanaaq,CN,1970-01-01 00:00:01.579292891,27.8,114.93,42.48,86,90,1.97
ilhabela,US,1970-01-01 00:00:01.579292891,46.72,-92.1,19.0,61,40,4.7
areosa,GL,1970-01-01 00:00:01.579292891,69.22,-51.1,1.4,59,20,12.75
nalut,RU,1970-01-01 00:00:01.579292891,50.08,132.17,-13.22,99,100,0.47
calabozo,US,1970-01-01 00:00:01.579292891,57.79,-152.41,32.0,65,90,13.87
yellowknife,CA,1970-01-01 00:00:01.579292891,51.23,-58.65,-2.92,73,0,29.21
xinyu,CA,1970-01-01 00:00:01.579292891,44.08,-80.2,21.99,48,75,8.05
superior,RU,1970-01-01 00:00:01.579292891,68.75,161.3,-27.51,92,12,3.85
ilulissat,BR,1970-01-01 00:00:01.579292891,-7.19,-48.21,84.33,68,100,2.04
tyrma,NZ,1970-01-01 00:00:01.579292891,-45.42,167.72,55.13,66,81,0.78
kodiak,PF,1970-01-01 00:00:01.579292891,-16.7,-151.02,81.68,79,20,20.96
saint-augustin,JP,1970-01-01 00:00:01.579292891,28.37,129.48,59.0,72,75,23.04
shelburne,ZA,1970-01-01 00:00:01.579292891,-34.0,24.73,66.06,95,100,12.35
cherskiy,RE,1970-01-01 00:00:01.579292891,-21.36,55.77,80.6,78,100,5.82
araguaina,CL,1970-01-01 00:00:01.579292645,-30.03,-70.71,77.0,64,100,13.87
te anau,MX,1970-01-01 00:00:01.579292891,23.92,-106.9,82.99,66,24,1.99
fare,RU,1970-01-01 00:00:01.579292891,68.05,39.51,19.24,71,100,7.49
naze,CZ,1970-01-01 00:00:01.579292892,49.61,16.68,32.0,100,90,9.17
kruisfontein,RU,1970-01-01 00:00:01.579292892,61.67,96.37,11.37,93,100,6.33
saint-philippe,BR,1970-01-01 00:00:01.579292893,-5.11,-38.37,86.68,55,72,6.4
vicuna,KZ,1970-01-01 00:00:01.579292893,46.84,74.98,14.67,93,100,12.97
la cruz,US,1970-01-01 00:00:01.579292893,19.73,-155.09,81.0,65,1,5.93
ostrovnoy,VU,1970-01-01 00:00:01.579292893,-19.55,169.27,75.2,94,75,18.37
velke opatovice,AR,1970-01-01 00:00:01.579292893,-39.03,-67.58,91.4,18,0,10.29
baykit,AR,1970-01-01 00:00:01.579292893,-27.8,-64.26,80.15,41,91,12.3
morada nova,OM,1970-01-01 00:00:01.579292893,17.02,54.09,71.6,33,0,10.29
balkhash,SB,1970-01-01 00:00:01.579292893,-10.45,161.92,79.32,78,95,3.89
hilo,MU,1970-01-01 00:00:01.579292893,-20.34,57.76,80.6,83,90,8.05
isangel,RU,1970-01-01 00:00:01.579292893,59.7,30.79,39.99,80,90,6.71
general roca,TR,1970-01-01 00:00:01.579292759,36.54,32.0,50.0,100,75,4.7
